# generated by split_tracks.py - check these times before splitting

ALBUM:  MTV Unplugged 1996
ARTIST: Oasis
DATE:   1996

0:00.00 - 3:31.00     Hello
3:31.00 - 8:47.00     Some Might Say
8:47.00 - 12:52.00    Live Forever
12:52.00 - 17:20.00   Listen Up
17:20.00 - 22:20.00   The Masterplan
22:20.00 - 27:40.00   Don't Look Back In Anger
27:40.00 - 31:56.00   Talk Tonight
31:56.00 - 35:35.00   Morning Glory
35:35.00 - 40:51.00   Round Are Way / Up In The Sky
40:51.00 - 45:21.00   Cast No Shadow
45:21.00 - 51:43.00   Whatever
51:43.00 - 55:56.00   Wonderwall
